name,is_business,license_number,type,company,city,state,zip,county,licensed_since,expires,disciplined
Santefort Realty Inc,True,478011934,LICENSED REAL ESTATE BROKER CORPORATION,Santefort Realty Inc,Westmont,IL,60559,Dupage,10/31/2005,10/31/2026,N
Fairview Realty Group Ltd,True,478012018,LICENSED REAL ESTATE BROKER CORPORATION,Fairview Realty Group Ltd,Oak Forest,IL,60452,Cook,12/15/2005,10/31/2026,N
Nen Investments Inc,True,478012050,LICENSED REAL ESTATE BROKER CORPORATION,Nen Investments Inc,Palatine,IL,60067,Cook,01/05/2006,10/31/2026,N
Exmore Homes Inc,True,478012067,LICENSED REAL ESTATE BROKER CORPORATION,Exmore Homes Inc,Lake Barrington,IL,60010,Cook,01/18/2006,10/31/2026,N
Sav-More Realty Inc,True,478012153,LICENSED REAL ESTATE BROKER CORPORATION,Sav-More Realty Inc,Lemont,IL,60439,Dupage,02/27/2006,10/31/2026,N
Andco Real Estate Group Inc,True,478012216,LICENSED REAL ESTATE BROKER CORPORATION,Deanne Thomas Luxury Properties,Chicago,IL,60610,Cook,03/23/2006,10/31/2026,N
Integrated Real Estate Solutions Inc,True,478012224,LICENSED REAL ESTATE BROKER CORPORATION,Integrated Real Estate Solutions Inc,Hawthorn Woods,IL,60047,Lake,03/28/2006,10/31/2026,N
Home Solutions Real Estate Inc,True,478012344,LICENSED REAL ESTATE BROKER CORPORATION,Home Solutions Real Estate Inc,Union,IL,60180,Mchenry,05/30/2006,10/31/2026,N
Retail Focus Inc,True,478012417,LICENSED REAL ESTATE BROKER CORPORATION,Retail Focus Inc,Antioch,IL,60004,,07/13/2006,10/31/2026,N
Castello & Castello Inc,True,478012475,LICENSED REAL ESTATE BROKER CORPORATION,Midwest Preferred Properties,Oak Lawn,IL,60453,Cook,08/23/2006,10/31/2026,N
Home Gallery Realty Corp,True,478012539,LICENSED REAL ESTATE BROKER CORPORATION,Home Gallery Realty Corp,Park Ridge,IL,60068,Cook,10/17/2006,10/31/2026,N
Mla Homeclosing Ltd,True,478012550,LICENSED REAL ESTATE BROKER CORPORATION,Mla Homeclosing Ltd,Oak Lawn,IL,60453,Cook,10/18/2006,10/31/2026,N
Related Management Company Lp,True,479000967,LICENSED REAL ESTATE BROKER PARTNERSHIP,Related Management Lp,Chicago,IL,60607,Cook,04/17/2012,10/31/2026,N
Leader Realty Inc,True,478012575,LICENSED REAL ESTATE BROKER CORPORATION,Leader Realty Inc,Bensenville,IL,60106,Dupage,11/08/2006,10/31/2026,N
S&B Ltd,True,478012674,LICENSED REAL ESTATE BROKER CORPORATION,Master Partners,Glenview,IL,60025,,01/18/2007,10/31/2026,N
Prestige Properties Real Estate  Pros Inc,True,478012701,LICENSED REAL ESTATE BROKER CORPORATION,Prestige Properties Real Estate  Pros Inc,Lansing,IL,60438,Cook,01/30/2007,10/31/2026,N
Land Management Properties Inc,True,478012715,LICENSED REAL ESTATE BROKER CORPORATION,Land Management Properties Inc,Richmond,IL,60071,Mchenry,02/05/2007,10/31/2026,N
A & S Property Services Inc,True,478012768,LICENSED REAL ESTATE BROKER CORPORATION,A & S Property Services Inc,Olympia Fields,IL,60461,Cook,03/12/2007,10/31/2026,N
Hearthstone Realty Inc,True,478012784,LICENSED REAL ESTATE BROKER CORPORATION,Hearthstone Realty,River Forest,IL,60305,Cook,03/19/2007,10/31/2026,N
Nelly Corporation,True,478012833,LICENSED REAL ESTATE BROKER CORPORATION,Nelly Corp Realty,Chicago,IL,60618,,04/13/2007,10/31/2026,N
Joan Bullard Realty Inc,True,478013012,LICENSED REAL ESTATE BROKER CORPORATION,Joan Bullard Realty Inc,Odell,IL,60460,Livingston,09/06/2007,10/31/2026,N
Tadd Realty Inc,True,478013022,LICENSED REAL ESTATE BROKER CORPORATION,Tadd Realty Inc,Chicago,IL,60620,Cook,09/14/2007,10/31/2026,N
Designer Direct Inc,True,478013045,LICENSED REAL ESTATE BROKER CORPORATION,Levin Associates Architects,Des Plaines,IL,60016,Cook,10/03/2007,10/31/2026,N
